statement,agrees,disagrees
"AI can do the first pass of screening or
extraction, but a human still has to verify
the output before it enters a review.",13,0
"Students should have to do one literature
review by hand before they are allowed to
use AI for one.",10,0
"Published literature reviews are becoming
obsolete because you can use LLMs to
generate a lit review for you at any time.",5,4
"If an AI agent matches expert performance on
literature search, insisting on human search
is nostalgia rather than rigor.",5,6
"Missing a few relevant studies is an
acceptable price for the speed at which
LLM's can screen abstracts.",4,6
