title,url,body,credit
Vibe Graveyard: An AI Failure Archive,https://vibegraveyard.ai/,"A sourced archive of real AI failures in production, from vacated court orders to leaked API keys.",Annabel V. Dang and Lyra G. Toohey
Prompt Injections in the Wild,https://blog.google/security/prompt-injections-web/,"Google swept Common Crawl for injected instructions: mostly pranks and SEO, but malicious ones rose 32%.",Zhongchi Li and Sooyeon Park
MAHA Report Cites Nonexistent Studies,https://www.washingtonsun.com/health-science/make-america-healthy-again-report-citation-errors,Seven of the 500+ sources in a 73-page federal health report do not exist; others were misread.,Majed A. Arishi and Rui Jin
